document_id,source_row_index,encoding_artefacts,has_encoding_artefacts,male_pronoun_count,female_pronoun_count,pronoun_mismatch,text_length
GAN16685,16685,replacement_char,True,12,0,False,3719
GAN2776,2776,replacement_char,True,0,0,False,2569
GAN11765,11765,replacement_char,True,0,0,False,1508
GAN2267,2267,replacement_char,True,0,0,False,4002
GAN6629,6629,,False,0,8,False,2732
GAN10894,10894,replacement_char,True,0,12,False,3417
GAN16839,16839,replacement_char,True,8,0,False,4623
GAN16162,16162,replacement_char,True,0,7,False,2810
GAN10410,10410,replacement_char,True,21,0,False,3497
GAN11254,11254,replacement_char,True,0,0,False,2511
GAN11733,11733,,False,0,0,False,2032
GAN4967,4967,utf8_double_A; utf8_fffd; utf8_double_e; utf8_nbsp; replacement_char,True,3,0,False,2103
GAN17239,17239,replacement_char,True,9,0,False,3634
GAN5082,5082,replacement_char,True,0,13,False,1677
GAN9114,9114,replacement_char,True,0,10,False,2204
GAN12985,12985,replacement_char,True,10,0,False,2837
GAN11948,11948,replacement_char,True,0,6,False,4334
GAN14944,14944,,False,0,13,False,2235
GAN14824,14824,,False,0,18,False,2072
GAN5136,5136,replacement_char,True,0,0,False,1377
GAN12826,12826,,False,0,0,False,2022
GAN4116,4116,replacement_char,True,0,0,False,3174
GAN13912,13912,replacement_char,True,0,13,False,2129
GAN987,987,replacement_char,True,1,0,False,2786
GAN1923,1923,replacement_char,True,14,0,False,3123
GAN1357,1357,replacement_char,True,4,0,False,2348
GAN6025,6025,,False,6,0,False,2971
GAN12130,12130,replacement_char,True,13,0,False,2970
GAN11576,11576,replacement_char,True,0,0,False,1724
GAN960,960,,False,25,0,False,3648
GAN15876,15876,utf8_double_A; utf8_fffd; utf8_double_e; utf8_nbsp; replacement_char,True,0,0,False,4854
GAN10954,10954,replacement_char,True,0,14,False,3039
GAN16050,16050,replacement_char,True,0,10,False,2681
GAN11889,11889,,False,0,0,False,1360
GAN4978,4978,replacement_char,True,5,0,False,2217
GAN13517,13517,replacement_char,True,0,8,False,2300
GAN13753,13753,replacement_char,True,16,0,False,4741
GAN9202,9202,utf8_double_A; utf8_fffd; utf8_double_e; utf8_nbsp; replacement_char,True,0,13,False,2177
GAN13889,13889,replacement_char,True,0,13,False,3187
GAN632,632,utf8_double_A; utf8_fffd; utf8_double_e; utf8_nbsp; replacement_char,True,14,0,False,2904
GAN9601,9601,replacement_char,True,6,0,False,2026
GAN13591,13591,replacement_char,True,10,0,False,2751
GAN10003,10003,replacement_char,True,16,0,False,3545
GAN11196,11196,utf8_double_A; utf8_fffd; utf8_double_e; utf8_nbsp; replacement_char,True,7,0,False,2704
GAN9946,9946,,False,0,1,False,2234
GAN4441,4441,,False,0,6,False,2298
GAN8938,8938,replacement_char,True,0,0,False,2051
GAN5791,5791,replacement_char,True,0,0,False,2851
GAN6004,6004,replacement_char,True,0,5,False,2611
GAN7475,7475,replacement_char,True,13,0,False,3543
GAN6395,6395,replacement_char,True,0,15,False,3307
GAN5088,5088,replacement_char,True,10,0,False,2254
GAN9163,9163,replacement_char,True,18,0,False,2386
GAN12963,12963,replacement_char,True,7,0,False,2794
GAN4448,4448,replacement_char,True,0,0,False,3564
GAN14587,14587,replacement_char,True,0,8,False,2616
GAN3048,3048,replacement_char,True,0,0,False,2565
GAN14821,14821,replacement_char,True,0,17,False,2360
GAN11748,11748,replacement_char,True,0,0,False,1376
GAN15923,15923,replacement_char,True,0,13,False,3490
GAN8286,8286,replacement_char,True,0,0,False,2677
GAN11825,11825,replacement_char,True,0,0,False,1644
GAN441,441,replacement_char,True,0,5,False,2370
GAN10213,10213,replacement_char,True,20,0,False,3988
GAN3999,3999,replacement_char,True,0,0,False,2960
GAN2080,2080,replacement_char,True,15,0,False,1864
GAN2549,2549,replacement_char,True,0,0,False,2308
GAN8089,8089,replacement_char,True,0,0,False,2654
GAN5345,5345,replacement_char,True,8,0,False,2319
GAN6775,6775,replacement_char,True,0,0,False,3636
GAN234,234,,False,0,6,False,1778
GAN3918,3918,replacement_char,True,6,0,False,2871
GAN6903,6903,replacement_char,True,6,0,False,2572
GAN15004,15004,,False,11,0,False,1808
GAN3469,3469,replacement_char,True,0,7,False,2850
GAN115,115,replacement_char,True,13,0,False,2925
GAN16041,16041,replacement_char,True,15,0,False,2089
GAN10873,10873,replacement_char,True,20,0,False,3664
GAN14370,14370,replacement_char,True,19,0,False,2062
GAN8808,8808,utf8_double_A; utf8_nbsp; replacement_char,True,7,0,False,2056
GAN8813,8813,replacement_char,True,14,0,False,3288
GAN7721,7721,utf8_double_A; utf8_fffd; utf8_double_e; utf8_nbsp; replacement_char,True,0,0,False,2229
GAN14489,14489,replacement_char,True,8,0,False,3488
GAN10578,10578,,False,13,0,False,3115
GAN2495,2495,,False,12,0,False,2981
GAN11337,11337,replacement_char,True,0,0,False,2267
GAN11614,11614,replacement_char,True,0,0,False,1590
GAN12584,12584,replacement_char,True,0,15,False,3307
GAN4994,4994,replacement_char,True,0,18,False,2219
GAN7455,7455,replacement_char,True,5,0,False,1942
GAN531,531,replacement_char,True,0,8,False,2728
GAN5141,5141,replacement_char,True,0,6,False,1770
GAN187,187,replacement_char,True,0,0,False,3599
GAN7005,7005,replacement_char,True,14,0,False,3156
GAN13290,13290,replacement_char,True,25,0,False,3376
GAN8264,8264,replacement_char,True,0,14,False,2574
GAN8127,8127,replacement_char,True,0,5,False,2457
GAN16436,16436,replacement_char,True,12,0,False,2793
GAN3949,3949,utf8_double_A; utf8_double_e; utf8_nbsp; replacement_char,True,0,12,False,4777
GAN16719,16719,replacement_char,True,0,12,False,4282
GAN3711,3711,replacement_char,True,0,0,False,2199
GAN6889,6889,replacement_char,True,9,0,False,3922
GAN7316,7316,replacement_char,True,0,0,False,2075
GAN1591,1591,replacement_char,True,0,6,False,2544
GAN678,678,replacement_char,True,10,0,False,1922
GAN8160,8160,,False,19,0,False,2192
GAN8721,8721,,False,0,0,False,1198
GAN11596,11596,replacement_char,True,0,0,False,1057
GAN3261,3261,replacement_char,True,0,19,False,2592
GAN4592,4592,utf8_double_A; utf8_fffd; utf8_double_e; utf8_nbsp; replacement_char,True,16,0,False,3008
GAN4258,4258,replacement_char,True,0,0,False,2875
GAN2543,2543,replacement_char,True,18,0,False,3623
GAN7346,7346,replacement_char,True,0,0,False,2425
GAN1790,1790,replacement_char,True,16,0,False,2471
GAN10618,10618,replacement_char,True,0,0,False,3791
GAN128,128,,False,8,0,False,3179
GAN9063,9063,replacement_char,True,0,0,False,1891
GAN466,466,replacement_char,True,0,0,False,2731
GAN409,409,replacement_char,True,0,0,False,2687
GAN12504,12504,,False,0,19,False,3456
GAN14845,14845,replacement_char,True,0,13,False,3529
GAN7892,7892,replacement_char,True,0,0,False,2177
GAN10326,10326,replacement_char,True,0,0,False,2154
GAN16824,16824,replacement_char,True,7,0,False,1929
GAN2978,2978,replacement_char,True,0,0,False,2063
GAN11764,11764,,False,0,0,False,1566
GAN12618,12618,replacement_char,True,0,13,False,2985
GAN15578,15578,replacement_char,True,0,11,False,3231
GAN3995,3995,replacement_char,True,13,0,False,2717
GAN15497,15497,replacement_char,True,15,0,False,3235
GAN14485,14485,replacement_char,True,13,0,False,3278
GAN3988,3988,replacement_char,True,0,0,False,3080
GAN8235,8235,replacement_char,True,0,10,False,2494
GAN3847,3847,replacement_char,True,2,0,False,2720
GAN14592,14592,replacement_char,True,17,0,False,4225
GAN14765,14765,replacement_char,True,11,0,False,2780
GAN218,218,replacement_char,True,0,0,False,2164
GAN12791,12791,replacement_char,True,11,0,False,3086
GAN11852,11852,replacement_char,True,0,0,False,1360
GAN1687,1687,replacement_char,True,0,0,False,2890
GAN15715,15715,utf8_double_A; utf8_fffd; utf8_double_e; utf8_nbsp; replacement_char,True,0,21,False,3644
GAN12548,12548,replacement_char,True,16,0,False,4443
GAN16429,16429,replacement_char,True,1,6,True,3415
GAN1413,1413,,False,19,0,False,2560
GAN11002,11002,,False,0,11,False,2768
GAN7911,7911,replacement_char,True,0,0,False,1579
GAN16663,16663,replacement_char,True,11,0,False,2077
GAN7859,7859,replacement_char,True,15,0,False,3923
GAN8794,8794,replacement_char,True,0,8,False,3073
GAN182,182,replacement_char,True,0,0,False,2257
GAN6252,6252,replacement_char,True,0,14,False,3002
GAN11044,11044,replacement_char,True,0,14,False,3002
GAN6836,6836,utf8_double_A; utf8_fffd; utf8_double_e; utf8_nbsp; replacement_char,True,0,0,False,2012
GAN4951,4951,replacement_char,True,0,6,False,2402
GAN1706,1706,replacement_char,True,0,7,False,2504
GAN16422,16422,utf8_double_A; utf8_fffd; utf8_double_e; utf8_nbsp; replacement_char,True,20,0,False,3644
GAN12041,12041,replacement_char,True,0,0,False,2861
GAN11590,11590,,False,1,0,False,1087
GAN14096,14096,replacement_char,True,0,12,False,2883
GAN12080,12080,,False,18,0,False,2930
GAN12674,12674,,False,15,0,False,2325
GAN4694,4694,replacement_char,True,0,2,False,2274
GAN10244,10244,replacement_char,True,0,13,False,3081
GAN2404,2404,replacement_char,True,0,0,False,3169
GAN9912,9912,,False,0,0,False,2037
GAN103,103,replacement_char,True,0,0,False,2442
GAN9147,9147,utf8_double_A; utf8_fffd; utf8_double_e; utf8_nbsp; replacement_char,True,0,0,False,2908
GAN2953,2953,replacement_char,True,10,0,False,1897
GAN12086,12086,replacement_char,True,0,0,False,2680
GAN2440,2440,replacement_char,True,30,0,False,2777
GAN4956,4956,,False,0,0,False,2147
GAN5764,5764,replacement_char,True,0,1,False,1985
GAN722,722,replacement_char,True,0,1,False,3184
GAN10002,10002,,False,0,1,False,2244
GAN13145,13145,replacement_char,True,0,16,False,3262
GAN11658,11658,replacement_char,True,0,0,False,1642
GAN1722,1722,replacement_char,True,0,22,False,2571
GAN8144,8144,,False,0,10,False,1924
GAN10298,10298,replacement_char,True,9,0,False,3227
GAN12060,12060,replacement_char,True,13,0,False,2521
GAN4996,4996,replacement_char,True,0,8,False,1737
GAN8124,8124,,False,0,9,False,1615
GAN3214,3214,replacement_char,True,13,0,False,2913
GAN1433,1433,,False,14,0,False,2858
GAN12083,12083,replacement_char,True,16,0,False,3454
GAN1207,1207,replacement_char,True,3,0,False,2466
GAN14137,14137,replacement_char,True,14,0,False,3066
GAN364,364,replacement_char,True,0,11,False,3442
GAN13721,13721,replacement_char,True,0,0,False,3331
GAN11737,11737,replacement_char,True,0,0,False,1649
GAN11640,11640,replacement_char,True,0,0,False,2019
GAN15306,15306,,False,0,0,False,2366
GAN7141,7141,replacement_char,True,0,13,False,2448
GAN849,849,replacement_char,True,0,16,False,3138
GAN12378,12378,replacement_char,True,10,0,False,3375
GAN15861,15861,replacement_char,True,0,6,False,2898
GAN869,869,replacement_char,True,17,0,False,3650
GAN14057,14057,utf8_double_A; utf8_fffd; utf8_nbsp; replacement_char,True,2,0,False,4391
GAN10441,10441,replacement_char,True,0,7,False,2285
GAN16697,16697,replacement_char,True,0,0,False,3265
GAN16728,16728,replacement_char,True,0,12,False,2812
GAN2824,2824,replacement_char,True,0,0,False,2384
GAN8005,8005,replacement_char,True,15,0,False,2793
GAN9877,9877,replacement_char,True,0,0,False,2755
GAN11401,11401,,False,0,0,False,1330
GAN15927,15927,replacement_char,True,0,7,False,2356
GAN10057,10057,replacement_char,True,4,0,False,1837
GAN13194,13194,,False,12,0,False,2081
GAN16780,16780,,False,0,17,False,2353
GAN2071,2071,replacement_char,True,0,0,False,2657
GAN14335,14335,replacement_char,True,0,14,False,3292
GAN7290,7290,,False,13,0,False,1878
GAN2789,2789,replacement_char,True,0,0,False,4546
GAN16084,16084,replacement_char,True,0,7,False,3058
GAN7785,7785,replacement_char,True,7,0,False,1424
GAN5653,5653,replacement_char,True,18,0,False,4090
GAN3355,3355,replacement_char,True,12,0,False,3694
GAN9096,9096,replacement_char,True,0,0,False,2105
GAN16704,16704,,False,0,10,False,1840
GAN10097,10097,replacement_char,True,0,0,False,2846
GAN1695,1695,replacement_char,True,3,0,False,2828
GAN17,17,utf8_double_A; utf8_fffd; utf8_double_e; utf8_nbsp; replacement_char,True,0,0,False,3811
GAN14530,14530,,False,20,0,False,2078
GAN2609,2609,replacement_char,True,0,13,False,3993
GAN11824,11824,,False,0,0,False,1456
GAN13841,13841,replacement_char,True,12,0,False,2673
GAN685,685,replacement_char,True,13,0,False,2874
GAN14965,14965,replacement_char,True,0,14,False,2966
GAN15242,15242,replacement_char,True,0,14,False,2741
GAN6209,6209,replacement_char,True,0,0,False,3643
GAN13590,13590,replacement_char,True,25,0,False,3314
GAN13266,13266,replacement_char,True,0,3,False,2163
GAN8169,8169,utf8_double_A; utf8_fffd; utf8_double_e; utf8_nbsp; replacement_char,True,0,0,False,4027
GAN8624,8624,replacement_char,True,10,0,False,2045
GAN5696,5696,replacement_char,True,0,7,False,2302
GAN13008,13008,replacement_char,True,10,0,False,3132
GAN12537,12537,replacement_char,True,5,0,False,3351
GAN4026,4026,replacement_char,True,0,0,False,1853
GAN13645,13645,replacement_char,True,8,0,False,4016
GAN15609,15609,replacement_char,True,0,0,False,3651
GAN16301,16301,replacement_char,True,0,21,False,2667
GAN13064,13064,replacement_char,True,11,0,False,2329
GAN1773,1773,replacement_char,True,11,1,True,2712
GAN6377,6377,replacement_char,True,3,0,False,2424
GAN1772,1772,replacement_char,True,0,17,False,2835
GAN16355,16355,,False,12,0,False,3281
GAN6787,6787,replacement_char,True,8,0,False,2888
GAN14483,14483,replacement_char,True,0,10,False,3527
GAN6063,6063,replacement_char,True,18,0,False,3726
GAN6330,6330,replacement_char,True,10,0,False,1286
GAN10794,10794,replacement_char,True,0,14,False,2307
GAN7834,7834,,False,0,9,False,1920
GAN3482,3482,utf8_double_A; utf8_fffd; utf8_double_e; utf8_nbsp; replacement_char,True,19,0,False,3397
GAN3225,3225,replacement_char,True,9,0,False,3607
GAN5763,5763,replacement_char,True,15,0,False,3842
GAN5540,5540,utf8_double_A; utf8_double_e; utf8_nbsp; replacement_char,True,6,0,False,1462
GAN5866,5866,replacement_char,True,0,0,False,2335
GAN16195,16195,replacement_char,True,0,8,False,3213
GAN13471,13471,utf8_double_A; utf8_double_e; utf8_nbsp; replacement_char,True,8,0,False,2151
GAN13574,13574,,False,7,0,False,1547
GAN8790,8790,replacement_char,True,20,0,False,2501
GAN9336,9336,,False,0,0,False,2357
GAN15834,15834,replacement_char,True,0,2,False,3206
GAN2804,2804,replacement_char,True,0,11,False,2597
GAN14237,14237,replacement_char,True,13,0,False,2425
GAN14383,14383,,False,18,0,False,2956
GAN16286,16286,replacement_char,True,9,0,False,2127
GAN3453,3453,replacement_char,True,24,0,False,3077
GAN10481,10481,utf8_double_A; utf8_fffd; utf8_double_e; utf8_nbsp; replacement_char,True,0,0,False,3882
GAN659,659,replacement_char,True,0,14,False,3749
GAN9014,9014,,False,0,11,False,2035
GAN16757,16757,replacement_char,True,3,0,False,2507
GAN13478,13478,replacement_char,True,12,0,False,2935
GAN15442,15442,replacement_char,True,0,21,False,3020
GAN1070,1070,replacement_char,True,15,0,False,2487
GAN8684,8684,replacement_char,True,0,0,False,2669
GAN6187,6187,replacement_char,True,0,3,False,2079
GAN6026,6026,replacement_char,True,0,0,False,2380
GAN15267,15267,,False,0,0,False,2707
GAN6952,6952,replacement_char,True,0,0,False,1973
GAN4378,4378,replacement_char,True,9,0,False,2740
GAN9377,9377,replacement_char,True,0,0,False,2790
GAN14454,14454,,False,0,8,False,1746
GAN10845,10845,replacement_char,True,9,0,False,3196
GAN9424,9424,replacement_char,True,0,12,False,2439
GAN2427,2427,replacement_char,True,0,0,False,1970
GAN2166,2166,replacement_char,True,0,0,False,1927
GAN15360,15360,,False,15,0,False,2303
GAN5766,5766,replacement_char,True,0,0,False,2601
GAN4690,4690,replacement_char,True,16,0,False,2585
GAN15847,15847,replacement_char,True,9,0,False,3212
GAN11262,11262,replacement_char,True,0,16,False,2573
GAN14317,14317,,False,0,9,False,2100
GAN14806,14806,replacement_char,True,11,0,False,2156
GAN2558,2558,replacement_char,True,13,0,False,3033
GAN14857,14857,replacement_char,True,0,9,False,2379
GAN2731,2731,replacement_char,True,8,0,False,2189
GAN3131,3131,replacement_char,True,0,6,False,1631
GAN15240,15240,replacement_char,True,0,23,False,3178
GAN2879,2879,replacement_char,True,15,0,False,4787
GAN14282,14282,replacement_char,True,18,0,False,3168
GAN13944,13944,replacement_char,True,0,14,False,2827
GAN6087,6087,replacement_char,True,0,0,False,2869
GAN13893,13893,replacement_char,True,0,17,False,3435
GAN5995,5995,replacement_char,True,6,0,False,3292
GAN10459,10459,replacement_char,True,10,0,False,3019
GAN8354,8354,,False,0,17,False,1925
GAN743,743,replacement_char,True,23,0,False,3773
GAN16091,16091,replacement_char,True,7,0,False,3058
GAN8185,8185,replacement_char,True,12,0,False,3255
GAN198,198,replacement_char,True,0,0,False,2341
GAN14635,14635,replacement_char,True,0,8,False,2312
GAN15650,15650,replacement_char,True,14,0,False,3224
GAN8116,8116,replacement_char,True,0,0,False,2107
GAN11197,11197,,False,0,3,False,2613
GAN16220,16220,,False,0,9,False,1939
GAN8802,8802,replacement_char,True,9,0,False,1575
GAN14187,14187,replacement_char,True,0,7,False,2254
GAN8844,8844,replacement_char,True,0,0,False,1974
GAN978,978,replacement_char,True,11,0,False,1999
GAN10994,10994,replacement_char,True,18,0,False,2718
GAN3623,3623,replacement_char,True,23,0,False,3454
GAN1736,1736,replacement_char,True,0,0,False,1727
GAN5652,5652,replacement_char,True,12,0,False,2281
GAN8730,8730,,False,10,0,False,1597
GAN7905,7905,replacement_char,True,12,0,False,2930
GAN12901,12901,replacement_char,True,4,0,False,3246
GAN14524,14524,replacement_char,True,0,8,False,2457
GAN7232,7232,replacement_char,True,0,17,False,2828
GAN836,836,,False,0,0,False,2614
GAN2678,2678,replacement_char,True,13,0,False,2951
GAN10673,10673,replacement_char,True,23,0,False,3739
GAN1979,1979,replacement_char,True,0,0,False,4210
GAN16512,16512,replacement_char,True,6,0,False,2713
GAN5505,5505,replacement_char,True,9,0,False,2872
GAN16964,16964,replacement_char,True,0,16,False,3055
GAN379,379,replacement_char,True,0,0,False,3344
GAN16834,16834,replacement_char,True,13,0,False,2565
GAN11632,11632,replacement_char,True,0,0,False,1399
GAN2643,2643,replacement_char,True,14,0,False,3176
GAN10751,10751,utf8_double_A; utf8_fffd; utf8_double_e; utf8_nbsp; replacement_char,True,11,0,False,2913
GAN8695,8695,replacement_char,True,17,0,False,2838
GAN8791,8791,replacement_char,True,10,0,False,3008
GAN5584,5584,replacement_char,True,9,0,False,2840
GAN11864,11864,replacement_char,True,0,0,False,1404
GAN6288,6288,replacement_char,True,10,0,False,2644
GAN10993,10993,replacement_char,True,11,0,False,3273
GAN4337,4337,replacement_char,True,0,0,False,2445
GAN4410,4410,replacement_char,True,17,0,False,2431
GAN3867,3867,replacement_char,True,7,0,False,2980
GAN8145,8145,replacement_char,True,0,8,False,1784
GAN6976,6976,replacement_char,True,0,0,False,1883
GAN3831,3831,replacement_char,True,0,0,False,2113
GAN1497,1497,replacement_char,True,6,0,False,3071
GAN6852,6852,replacement_char,True,0,3,False,2933
GAN9379,9379,replacement_char,True,8,0,False,3576
GAN8512,8512,replacement_char,True,0,0,False,1678
GAN714,714,replacement_char,True,21,0,False,3554
GAN15428,15428,utf8_double_A; utf8_fffd; utf8_double_e; utf8_nbsp; replacement_char,True,0,18,False,2941
GAN2965,2965,replacement_char,True,15,0,False,3252
GAN12173,12173,replacement_char,True,7,0,False,3315
GAN4732,4732,,False,0,18,False,2703
GAN9526,9526,replacement_char,True,0,0,False,1941
GAN16204,16204,,False,13,0,False,2387
GAN16357,16357,replacement_char,True,0,0,False,3020
GAN10264,10264,,False,0,15,False,2773
GAN5379,5379,replacement_char,True,0,5,False,2685
GAN31,31,replacement_char,True,11,0,False,2388
GAN4411,4411,replacement_char,True,0,5,False,1848
GAN7386,7386,replacement_char,True,0,0,False,2414
GAN3113,3113,replacement_char,True,16,0,False,2437
GAN11272,11272,replacement_char,True,0,13,False,2548
GAN3102,3102,replacement_char,True,8,0,False,2283
GAN1023,1023,replacement_char,True,19,0,False,3177
GAN16021,16021,utf8_double_A; utf8_fffd; utf8_double_e; utf8_nbsp; replacement_char,True,4,0,False,2689
GAN5395,5395,,False,13,0,False,3194
GAN16727,16727,replacement_char,True,8,0,False,2170
GAN16835,16835,replacement_char,True,10,0,False,3050
GAN1289,1289,replacement_char,True,0,12,False,2868
GAN12246,12246,replacement_char,True,0,10,False,2959
GAN10316,10316,replacement_char,True,4,0,False,2203
GAN8593,8593,,False,16,0,False,2617
GAN2226,2226,replacement_char,True,0,0,False,2880
GAN6509,6509,replacement_char,True,0,13,False,4794
GAN12788,12788,replacement_char,True,0,0,False,2307
GAN1317,1317,replacement_char,True,0,0,False,2633
GAN10292,10292,replacement_char,True,0,15,False,3578
GAN3058,3058,replacement_char,True,9,0,False,2536
GAN6241,6241,replacement_char,True,0,9,False,2909
GAN17006,17006,replacement_char,True,15,0,False,3875
GAN6180,6180,,False,15,0,False,3709
GAN12438,12438,,False,0,10,False,2632
GAN1454,1454,replacement_char,True,0,13,False,2581
GAN8674,8674,replacement_char,True,0,12,False,2198
GAN12456,12456,replacement_char,True,0,4,False,2908
GAN1184,1184,replacement_char,True,0,8,False,2661
GAN10863,10863,,False,13,0,False,2642
GAN824,824,,False,0,2,False,2148
GAN13608,13608,replacement_char,True,10,0,False,2597
GAN4173,4173,replacement_char,True,22,1,True,2911
GAN11706,11706,replacement_char,True,0,0,False,2378
GAN9471,9471,replacement_char,True,0,0,False,2488
GAN11606,11606,,False,0,0,False,1054
GAN739,739,replacement_char,True,0,0,False,3072
GAN12810,12810,replacement_char,True,18,0,False,3258
GAN14655,14655,,False,15,0,False,3202
GAN10795,10795,,False,8,0,False,2707
GAN10621,10621,replacement_char,True,0,15,False,3111
GAN14662,14662,utf8_double_A; utf8_fffd; utf8_double_e; utf8_nbsp; replacement_char,True,13,0,False,3207
GAN15483,15483,replacement_char,True,0,22,False,3191
GAN16739,16739,replacement_char,True,7,0,False,3237
GAN1887,1887,replacement_char,True,0,0,False,2544
GAN2698,2698,replacement_char,True,0,0,False,2560
GAN2486,2486,replacement_char,True,0,0,False,2225
GAN15039,15039,replacement_char,True,0,0,False,3686
GAN4731,4731,replacement_char,True,0,0,False,2532
GAN11660,11660,,False,0,0,False,1111
GAN790,790,,False,17,0,False,2461
GAN8241,8241,replacement_char,True,0,11,False,2053
GAN22,22,replacement_char,True,8,0,False,2777
GAN16618,16618,replacement_char,True,1,5,True,3016
GAN8109,8109,utf8_double_A; utf8_fffd; utf8_double_e; utf8_nbsp; replacement_char,True,0,10,False,3519
GAN3380,3380,replacement_char,True,27,0,False,3329
GAN10434,10434,replacement_char,True,19,0,False,2351
GAN4925,4925,replacement_char,True,11,0,False,2245
GAN16990,16990,replacement_char,True,21,0,False,2954
GAN12296,12296,replacement_char,True,0,6,False,2252
GAN10677,10677,replacement_char,True,5,0,False,2937
GAN8540,8540,,False,17,0,False,2254
GAN5873,5873,replacement_char,True,0,20,False,4611
GAN9368,9368,replacement_char,True,0,0,False,3144
GAN10200,10200,replacement_char,True,17,0,False,2966
GAN16523,16523,utf8_double_A; utf8_fffd; utf8_nbsp; replacement_char,True,9,0,False,4458
GAN11409,11409,replacement_char,True,0,0,False,1157
GAN5645,5645,replacement_char,True,15,0,False,2763
GAN3906,3906,replacement_char,True,0,8,False,1965
GAN15831,15831,replacement_char,True,0,16,False,3231
GAN15672,15672,replacement_char,True,0,22,False,3731
GAN13349,13349,replacement_char,True,0,9,False,3099
GAN9397,9397,replacement_char,True,4,0,False,2291
GAN5479,5479,utf8_double_A; utf8_fffd; utf8_double_e; utf8_nbsp; replacement_char,True,0,0,False,4522
GAN12333,12333,replacement_char,True,18,0,False,4454
GAN816,816,,False,0,0,False,2126
GAN11804,11804,replacement_char,True,0,0,False,1389
GAN2435,2435,replacement_char,True,11,0,False,2882
GAN13970,13970,replacement_char,True,16,0,False,2037
GAN4022,4022,replacement_char,True,0,3,False,2621
GAN14332,14332,replacement_char,True,0,15,False,2646
GAN15964,15964,replacement_char,True,14,0,False,2580
GAN2932,2932,replacement_char,True,0,3,False,2082
GAN2311,2311,replacement_char,True,0,12,False,2670
GAN892,892,replacement_char,True,9,0,False,2036
GAN4480,4480,,False,21,0,False,3064
GAN7196,7196,replacement_char,True,0,2,False,1982
GAN7327,7327,replacement_char,True,0,0,False,2319
GAN899,899,replacement_char,True,0,0,False,4286
GAN5624,5624,replacement_char,True,0,13,False,2293
GAN6979,6979,utf8_double_A; utf8_fffd; utf8_double_e; utf8_nbsp; replacement_char,True,0,10,False,2956
GAN4702,4702,replacement_char,True,12,0,False,3143
GAN1460,1460,,False,15,0,False,2256
GAN4793,4793,,False,21,0,False,3231
GAN240,240,,False,17,0,False,2274
GAN6684,6684,replacement_char,True,13,0,False,2143
